    0.10000E-03    0.20505E+03
    0.10202E-03    0.20902E+03
    0.10408E-03    0.21307E+03
    0.10618E-03    0.21720E+03
    0.10833E-03    0.22141E+03
    0.11052E-03    0.22570E+03
    0.11275E-03    0.23007E+03
    0.11503E-03    0.23453E+03
    0.11735E-03    0.23907E+03
    0.11972E-03    0.24370E+03
    0.12214E-03    0.24842E+03
    0.12461E-03    0.25323E+03
    0.12712E-03    0.25814E+03
    0.12969E-03    0.26314E+03
    0.13231E-03    0.26823E+03
    0.13499E-03    0.27343E+03
    0.13771E-03    0.27872E+03
    0.14049E-03    0.28412E+03
    0.14333E-03    0.28962E+03
    0.14623E-03    0.29523E+03
    0.14918E-03    0.30095E+03
    0.15220E-03    0.30678E+03
    0.15527E-03    0.31271E+03
    0.15841E-03    0.31877E+03
    0.16161E-03    0.32494E+03
    0.16487E-03    0.33123E+03
    0.16820E-03    0.33764E+03
    0.17160E-03    0.34418E+03
    0.17507E-03    0.35084E+03
    0.17860E-03    0.35763E+03
    0.18221E-03    0.36455E+03
    0.18589E-03    0.37160E+03
    0.18965E-03    0.37879E+03
    0.19348E-03    0.38612E+03
    0.19739E-03    0.39359E+03
    0.20138E-03    0.40121E+03
    0.20544E-03    0.40897E+03
    0.20959E-03    0.41688E+03
    0.21383E-03    0.42494E+03
    0.21815E-03    0.43316E+03
    0.22255E-03    0.44153E+03
    0.22705E-03    0.45007E+03
    0.23164E-03    0.45877E+03
    0.23632E-03    0.46764E+03
    0.24109E-03    0.47668E+03
    0.24596E-03    0.48589E+03
    0.25093E-03    0.49528E+03
    0.25600E-03    0.50485E+03
    0.26117E-03    0.51460E+03
    0.26645E-03    0.52454E+03
    0.27183E-03    0.53467E+03
    0.27732E-03    0.54500E+03
    0.28292E-03    0.55552E+03
    0.28864E-03    0.56624E+03
    0.29447E-03    0.57717E+03
    0.30042E-03    0.58831E+03
    0.30649E-03    0.59966E+03
    0.31268E-03    0.61123E+03
    0.31899E-03    0.62301E+03
    0.32544E-03    0.63503E+03
    0.33201E-03    0.64727E+03
    0.33872E-03    0.65975E+03
    0.34556E-03    0.67246E+03
    0.35254E-03    0.68541E+03
    0.35966E-03    0.69862E+03
    0.36693E-03    0.71207E+03
    0.37434E-03    0.72578E+03
    0.38190E-03    0.73974E+03
    0.38962E-03    0.75398E+03
    0.39749E-03    0.76848E+03
    0.40552E-03    0.78326E+03
    0.41371E-03    0.79831E+03
    0.42207E-03    0.81365E+03
    0.43060E-03    0.82928E+03
    0.43929E-03    0.84521E+03
    0.44817E-03    0.86143E+03
    0.45722E-03    0.87796E+03
    0.46646E-03    0.89480E+03
    0.47588E-03    0.91196E+03
    0.48550E-03    0.92944E+03
    0.49530E-03    0.94725E+03
    0.50531E-03    0.96539E+03
    0.51552E-03    0.98386E+03
    0.52593E-03    0.10027E+04
    0.53656E-03    0.10219E+04
    0.54739E-03    0.10414E+04
    0.55845E-03    0.10613E+04
    0.56973E-03    0.10815E+04
    0.58124E-03    0.11022E+04
    0.59299E-03    0.11232E+04
    0.60496E-03    0.11446E+04
    0.61719E-03    0.11664E+04
    0.62965E-03    0.11886E+04
    0.64237E-03    0.12112E+04
    0.65535E-03    0.12343E+04
    0.66859E-03    0.12577E+04
    0.68210E-03    0.12816E+04
    0.69588E-03    0.13059E+04
    0.70993E-03    0.13306E+04
    0.72427E-03    0.13558E+04
    0.73891E-03    0.13815E+04
    0.75383E-03    0.14076E+04
    0.76906E-03    0.14342E+04
    0.78460E-03    0.14613E+04
    0.80045E-03    0.14888E+04
    0.81662E-03    0.15169E+04
    0.83311E-03    0.15454E+04
    0.84994E-03    0.15745E+04
    0.86711E-03    0.16041E+04
    0.88463E-03    0.16342E+04
    0.90250E-03    0.16648E+04
    0.92073E-03    0.16960E+04
    0.93933E-03    0.17277E+04
    0.95831E-03    0.17600E+04
    0.97767E-03    0.17928E+04
    0.99742E-03    0.18262E+04
    0.10176E-02    0.18602E+04
    0.10381E-02    0.18948E+04
    0.10591E-02    0.19299E+04
    0.10805E-02    0.19657E+04
    0.11023E-02    0.20021E+04
    0.11246E-02    0.20391E+04
    0.11473E-02    0.20767E+04
    0.11705E-02    0.21150E+04
    0.11941E-02    0.21539E+04
    0.12182E-02    0.21934E+04
    0.12429E-02    0.22337E+04
    0.12680E-02    0.22745E+04
    0.12936E-02    0.23161E+04
    0.13197E-02    0.23583E+04
    0.13464E-02    0.24013E+04
    0.13736E-02    0.24449E+04
    0.14013E-02    0.24892E+04
    0.14296E-02    0.25343E+04
    0.14585E-02    0.25801E+04
    0.14880E-02    0.26266E+04
    0.15180E-02    0.26738E+04
    0.15487E-02    0.27218E+04
    0.15800E-02    0.27705E+04
    0.16119E-02    0.28200E+04
    0.16445E-02    0.28702E+04
    0.16777E-02    0.29212E+04
    0.17116E-02    0.29730E+04
    0.17462E-02    0.30256E+04
    0.17814E-02    0.30789E+04
    0.18174E-02    0.31330E+04
    0.18541E-02    0.31880E+04
    0.18916E-02    0.32437E+04
    0.19298E-02    0.33002E+04
    0.19688E-02    0.33576E+04
    0.20086E-02    0.34158E+04
    0.20491E-02    0.34747E+04
    0.20905E-02    0.35345E+04
    0.21328E-02    0.35952E+04
    0.21758E-02    0.36566E+04
    0.22198E-02    0.37189E+04
    0.22646E-02    0.37820E+04
    0.23104E-02    0.38459E+04
    0.23571E-02    0.39107E+04
    0.24047E-02    0.39763E+04
    0.24533E-02    0.40427E+04
    0.25028E-02    0.41100E+04
    0.25534E-02    0.41780E+04
    0.26050E-02    0.42470E+04
    0.26576E-02    0.43167E+04
    0.27113E-02    0.43873E+04
    0.27660E-02    0.44587E+04
    0.28219E-02    0.45309E+04
    0.28789E-02    0.46039E+04
    0.29371E-02    0.46777E+04
    0.29964E-02    0.47523E+04
    0.30569E-02    0.48277E+04
    0.31187E-02    0.49039E+04
    0.31817E-02    0.49808E+04
    0.32460E-02    0.50586E+04
    0.33115E-02    0.51370E+04
    0.33784E-02    0.52163E+04
    0.34467E-02    0.52962E+04
    0.35163E-02    0.53769E+04
    0.35874E-02    0.54583E+04
    0.36598E-02    0.55404E+04
    0.37338E-02    0.56232E+04
    0.38092E-02    0.57066E+04
    0.38861E-02    0.57906E+04
    0.39646E-02    0.58753E+04
    0.40447E-02    0.59606E+04
    0.41264E-02    0.60465E+04
    0.42098E-02    0.61329E+04
    0.42948E-02    0.62198E+04
    0.43816E-02    0.63073E+04
    0.44701E-02    0.63953E+04
    0.45604E-02    0.64837E+04
    0.46525E-02    0.65725E+04
    0.47465E-02    0.66617E+04
    0.48424E-02    0.67513E+04
    0.49402E-02    0.68412E+04
    0.50400E-02    0.69315E+04
    0.51419E-02    0.70220E+04
    0.52457E-02    0.71127E+04
    0.53517E-02    0.72037E+04
    0.54598E-02    0.72948E+04
    0.55701E-02    0.73860E+04
    0.56826E-02    0.74773E+04
    0.57974E-02    0.75685E+04
    0.59145E-02    0.76597E+04
    0.60340E-02    0.77507E+04
    0.61559E-02    0.78416E+04
    0.62803E-02    0.79323E+04
    0.64072E-02    0.80228E+04
    0.65366E-02    0.81129E+04
    0.66686E-02    0.82027E+04
    0.68033E-02    0.82921E+04
    0.69408E-02    0.83809E+04
    0.70810E-02    0.84693E+04
    0.72240E-02    0.85569E+04
    0.73700E-02    0.86439E+04
    0.75189E-02    0.87301E+04
    0.76708E-02    0.88155E+04
    0.78257E-02    0.89000E+04
    0.79838E-02    0.89835E+04
    0.81451E-02    0.90659E+04
    0.83096E-02    0.91471E+04
    0.84775E-02    0.92272E+04
    0.86488E-02    0.93059E+04
    0.88235E-02    0.93832E+04
    0.90017E-02    0.94590E+04
    0.91836E-02    0.95332E+04
    0.93691E-02    0.96057E+04
    0.95583E-02    0.96765E+04
    0.97514E-02    0.97454E+04
    0.99484E-02    0.98123E+04
    0.10149E-01    0.98772E+04
