    0.10000E-03    0.97888E+02
    0.10202E-03    0.99785E+02
    0.10408E-03    0.10172E+03
    0.10618E-03    0.10369E+03
    0.10833E-03    0.10570E+03
    0.11052E-03    0.10775E+03
    0.11275E-03    0.10983E+03
    0.11503E-03    0.11196E+03
    0.11735E-03    0.11413E+03
    0.11972E-03    0.11634E+03
    0.12214E-03    0.11859E+03
    0.12461E-03    0.12089E+03
    0.12712E-03    0.12323E+03
    0.12969E-03    0.12562E+03
    0.13231E-03    0.12805E+03
    0.13499E-03    0.13053E+03
    0.13771E-03    0.13306E+03
    0.14049E-03    0.13564E+03
    0.14333E-03    0.13827E+03
    0.14623E-03    0.14094E+03
    0.14918E-03    0.14367E+03
    0.15220E-03    0.14646E+03
    0.15527E-03    0.14929E+03
    0.15841E-03    0.15218E+03
    0.16161E-03    0.15513E+03
    0.16487E-03    0.15813E+03
    0.16820E-03    0.16119E+03
    0.17160E-03    0.16431E+03
    0.17507E-03    0.16749E+03
    0.17860E-03    0.17074E+03
    0.18221E-03    0.17404E+03
    0.18589E-03    0.17741E+03
    0.18965E-03    0.18084E+03
    0.19348E-03    0.18434E+03
    0.19739E-03    0.18791E+03
    0.20138E-03    0.19154E+03
    0.20544E-03    0.19525E+03
    0.20959E-03    0.19903E+03
    0.21383E-03    0.20288E+03
    0.21815E-03    0.20680E+03
    0.22255E-03    0.21080E+03
    0.22705E-03    0.21488E+03
    0.23164E-03    0.21903E+03
    0.23632E-03    0.22327E+03
    0.24109E-03    0.22758E+03
    0.24596E-03    0.23198E+03
    0.25093E-03    0.23647E+03
    0.25600E-03    0.24104E+03
    0.26117E-03    0.24569E+03
    0.26645E-03    0.25044E+03
    0.27183E-03    0.25528E+03
    0.27732E-03    0.26021E+03
    0.28292E-03    0.26523E+03
    0.28864E-03    0.27035E+03
    0.29447E-03    0.27557E+03
    0.30042E-03    0.28089E+03
    0.30649E-03    0.28632E+03
    0.31268E-03    0.29184E+03
    0.31899E-03    0.29747E+03
    0.32544E-03    0.30321E+03
    0.33201E-03    0.30906E+03
    0.33872E-03    0.31502E+03
    0.34556E-03    0.32109E+03
    0.35254E-03    0.32728E+03
    0.35966E-03    0.33358E+03
    0.36693E-03    0.34001E+03
    0.37434E-03    0.34656E+03
    0.38190E-03    0.35323E+03
    0.38962E-03    0.36003E+03
    0.39749E-03    0.36696E+03
    0.40552E-03    0.37402E+03
    0.41371E-03    0.38121E+03
    0.42207E-03    0.38854E+03
    0.43060E-03    0.39601E+03
    0.43929E-03    0.40362E+03
    0.44817E-03    0.41137E+03
    0.45722E-03    0.41927E+03
    0.46646E-03    0.42732E+03
    0.47588E-03    0.43552E+03
    0.48550E-03    0.44387E+03
    0.49530E-03    0.45238E+03
    0.50531E-03    0.46105E+03
    0.51552E-03    0.46988E+03
    0.52593E-03    0.47887E+03
    0.53656E-03    0.48804E+03
    0.54739E-03    0.49737E+03
    0.55845E-03    0.50688E+03
    0.56973E-03    0.51657E+03
    0.58124E-03    0.52643E+03
    0.59299E-03    0.53648E+03
    0.60496E-03    0.54671E+03
    0.61719E-03    0.55713E+03
    0.62965E-03    0.56775E+03
    0.64237E-03    0.57856E+03
    0.65535E-03    0.58956E+03
    0.66859E-03    0.60077E+03
    0.68210E-03    0.61219E+03
    0.69588E-03    0.62381E+03
    0.70993E-03    0.63565E+03
    0.72427E-03    0.64770E+03
    0.73891E-03    0.65997E+03
    0.75383E-03    0.67246E+03
    0.76906E-03    0.68517E+03
    0.78460E-03    0.69812E+03
    0.80045E-03    0.71129E+03
    0.81662E-03    0.72471E+03
    0.83311E-03    0.73836E+03
    0.84994E-03    0.75226E+03
    0.86711E-03    0.76640E+03
    0.88463E-03    0.78079E+03
    0.90250E-03    0.79544E+03
    0.92073E-03    0.81035E+03
    0.93933E-03    0.82552E+03
    0.95831E-03    0.84095E+03
    0.97767E-03    0.85665E+03
    0.99742E-03    0.87263E+03
    0.10176E-02    0.88888E+03
    0.10381E-02    0.90542E+03
