    0.10000E-03    0.36110E+02
    0.10202E-03    0.36810E+02
    0.10408E-03    0.37523E+02
    0.10618E-03    0.38250E+02
    0.10833E-03    0.38991E+02
    0.11052E-03    0.39747E+02
    0.11275E-03    0.40517E+02
    0.11503E-03    0.41302E+02
    0.11735E-03    0.42102E+02
    0.11972E-03    0.42918E+02
    0.12214E-03    0.43749E+02
    0.12461E-03    0.44597E+02
    0.12712E-03    0.45461E+02
    0.12969E-03    0.46341E+02
    0.13231E-03    0.47239E+02
    0.13499E-03    0.48154E+02
    0.13771E-03    0.49087E+02
    0.14049E-03    0.50038E+02
    0.14333E-03    0.51007E+02
    0.14623E-03    0.51995E+02
    0.14918E-03    0.53002E+02
    0.15220E-03    0.54028E+02
    0.15527E-03    0.55074E+02
    0.15841E-03    0.56141E+02
    0.16161E-03    0.57228E+02
    0.16487E-03    0.58336E+02
    0.16820E-03    0.59466E+02
    0.17160E-03    0.60617E+02
    0.17507E-03    0.61791E+02
    0.17860E-03    0.62987E+02
    0.18221E-03    0.64206E+02
    0.18589E-03    0.65449E+02
    0.18965E-03    0.66716E+02
    0.19348E-03    0.68007E+02
    0.19739E-03    0.69323E+02
    0.20138E-03    0.70665E+02
    0.20544E-03    0.72032E+02
    0.20959E-03    0.73426E+02
    0.21383E-03    0.74847E+02
    0.21815E-03    0.76295E+02
    0.22255E-03    0.77771E+02
    0.22705E-03    0.79275E+02
    0.23164E-03    0.80808E+02
    0.23632E-03    0.82371E+02
    0.24109E-03    0.83964E+02
    0.24596E-03    0.85587E+02
    0.25093E-03    0.87242E+02
    0.25600E-03    0.88929E+02
    0.26117E-03    0.90648E+02
    0.26645E-03    0.92400E+02
    0.27183E-03    0.94185E+02
    0.27732E-03    0.96005E+02
    0.28292E-03    0.97860E+02
    0.28864E-03    0.99750E+02
    0.29447E-03    0.10168E+03
    0.30042E-03    0.10364E+03
    0.30649E-03    0.10564E+03
    0.31268E-03    0.10768E+03
    0.31899E-03    0.10976E+03
    0.32544E-03    0.11188E+03
    0.33201E-03    0.11404E+03
    0.33872E-03    0.11624E+03
    0.34556E-03    0.11848E+03
    0.35254E-03    0.12076E+03
    0.35966E-03    0.12309E+03
    0.36693E-03    0.12547E+03
    0.37434E-03    0.12788E+03
    0.38190E-03    0.13035E+03
    0.38962E-03    0.13286E+03
    0.39749E-03    0.13542E+03
    0.40552E-03    0.13802E+03
    0.41371E-03    0.14068E+03
    0.42207E-03    0.14339E+03
    0.43060E-03    0.14615E+03
    0.43929E-03    0.14896E+03
    0.44817E-03    0.15182E+03
    0.45722E-03    0.15474E+03
    0.46646E-03    0.15771E+03
    0.47588E-03    0.16074E+03
    0.48550E-03    0.16383E+03
    0.49530E-03    0.16697E+03
    0.50531E-03    0.17017E+03
    0.51552E-03    0.17344E+03
    0.52593E-03    0.17676E+03
